resource	path	type	required	default	validation	classification	owner	mutability	enforcement	moduleInteraction	migration	rule	purpose	decision
OpenBaoCluster	spec.audit[].socketOptions.address	string	false	-	-	additive-unfrozen	configuration	mutable	crd-schema,controller	none	required-if-changed	spec.audit	Address is the socket server address to use.	Declarative audit devices are supported, but the advanced fallback contract still needs a freeze decision.
OpenBaoCluster	spec.audit[].socketOptions.socketType	string	false	-	-	additive-unfrozen	configuration	mutable	crd-schema,controller	none	required-if-changed	spec.audit	SocketType is the socket type to use, any type compatible with net.Dial is acceptable.	Declarative audit devices are supported, but the advanced fallback contract still needs a freeze decision.
OpenBaoCluster	spec.audit[].socketOptions.writeTimeout	string	false	-	-	additive-unfrozen	configuration	mutable	crd-schema,controller	none	required-if-changed	spec.audit	WriteTimeout is the (deadline) time in seconds to allow writes to be completed over the socket.	Declarative audit devices are supported, but the advanced fallback contract still needs a freeze decision.
OpenBaoCluster	spec.audit[].syslogOptions	object	false	-	-	additive-unfrozen	configuration	mutable	crd-schema,controller	none	required-if-changed	spec.audit	SyslogOptions configures options for syslog audit devices.	Declarative audit devices are supported, but the advanced fallback contract still needs a freeze decision.
OpenBaoCluster	spec.audit[].syslogOptions.facility	string	false	-	-	additive-unfrozen	configuration	mutable	crd-schema,controller	none	required-if-changed	spec.audit	Facility is the syslog facility to use.	Declarative audit devices are supported, but the advanced fallback contract still needs a freeze decision.
OpenBaoCluster	spec.audit[].syslogOptions.tag	string	false	-	-	additive-unfrozen	configuration	mutable	crd-schema,controller	none	required-if-changed	spec.audit	Tag is the syslog tag to use.	Declarative audit devices are supported, but the advanced fallback contract still needs a freeze decision.
OpenBaoCluster	spec.audit[].type	string	true	-	minLength=1; enum="file","syslog","socket","http"	additive-unfrozen	configuration	mutable	crd-schema,controller	none	required-if-changed	spec.audit	Type is the type of audit device (e.g., "file", "syslog", "socket", "http").	Declarative audit devices are supported, but the advanced fallback contract still needs a freeze decision.
OpenBaoCluster	spec.backup	object	false	-	-	beta-stable	backup	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.backup	Backup configures scheduled backups for the cluster.	-
OpenBaoCluster	spec.backup.image	string	false	-	-	beta-stable	backup	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.backup	Image is the container image to use for backup operations.	-
OpenBaoCluster	spec.backup.jwtAuthRole	string	false	-	-	beta-stable	backup	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.backup	JWTAuthRole is the name of the JWT Auth role configured in OpenBao for backup operations.	-
OpenBaoCluster	spec.backup.retention	object	false	-	-	beta-stable	backup	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.backup	Retention defines optional backup retention policy.	-
OpenBaoCluster	spec.backup.retention.maxAge	string	false	-	-	beta-stable	backup	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.backup	MaxAge is the maximum age of backups to retain, e.g., "168h" for 7 days.	-
OpenBaoCluster	spec.backup.retention.maxCount	integer	false	-	format=int32; minimum=0	beta-stable	backup	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.backup	MaxCount is the maximum number of backups to retain (0 = unlimited).	-
OpenBaoCluster	spec.backup.schedule	string	true	-	minLength=1	beta-stable	backup	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.backup	Schedule is a cron-style schedule, for example "0 3 * * *".	-
OpenBaoCluster	spec.backup.target	object	true	-	-	likely-move	backup	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.backup.target	Target is the object storage configuration for backups.	Common and provider-specific storage fields currently share one shape.
OpenBaoCluster	spec.backup.target.azure	object	false	-	-	likely-move	backup	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.backup.target	Azure contains Azure Blob Storage specific configuration.	Common and provider-specific storage fields currently share one shape.
OpenBaoCluster	spec.backup.target.azure.container	string	false	-	-	likely-move	backup	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.backup.target	Container is the blob container name.	Common and provider-specific storage fields currently share one shape.
OpenBaoCluster	spec.backup.target.azure.storageAccount	string	false	-	minLength=1	likely-move	backup	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.backup.target	StorageAccount is the Azure storage account name.	Common and provider-specific storage fields currently share one shape.
OpenBaoCluster	spec.backup.target.bucket	string	true	-	minLength=1	likely-move	backup	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.backup.target	Bucket is the bucket or container name.	Common and provider-specific storage fields currently share one shape.
OpenBaoCluster	spec.backup.target.concurrency	integer	false	3	format=int32; minimum=1; maximum=10	likely-move	backup	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.backup.target	Concurrency is the number of concurrent parts to upload during multipart uploads.	Common and provider-specific storage fields currently share one shape.
OpenBaoCluster	spec.backup.target.credentialsSecretRef	object	false	-	-	likely-move	backup	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.backup.target	CredentialsSecretRef optionally references a Secret containing credentials for the object store.	Common and provider-specific storage fields currently share one shape.
OpenBaoCluster	spec.backup.target.credentialsSecretRef.name	string	false	""	-	likely-move	backup	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.backup.target	Name of the referent.	Common and provider-specific storage fields currently share one shape.
OpenBaoCluster	spec.backup.target.endpoint	string	false	-	-	likely-move	backup	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.backup.target	Endpoint is the HTTP(S) endpoint for the object storage service.	Common and provider-specific storage fields currently share one shape.
OpenBaoCluster	spec.backup.target.gcs	object	false	-	-	likely-move	backup	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.backup.target	GCS contains Google Cloud Storage specific configuration.	Common and provider-specific storage fields currently share one shape.
OpenBaoCluster	spec.backup.target.gcs.project	string	false	-	-	likely-move	backup	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.backup.target	Project is the GCP project ID.	Common and provider-specific storage fields currently share one shape.
OpenBaoCluster	spec.backup.target.insecureSkipVerify	boolean	false	-	-	likely-move	backup	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.backup.target	InsecureSkipVerify allows skipping TLS verification (useful for MinIO/LocalStack/Azurite with self-signed certs).	Common and provider-specific storage fields currently share one shape.
OpenBaoCluster	spec.backup.target.partSize	integer	false	10485760	format=int64; minimum=5242880	likely-move	backup	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.backup.target	PartSize is the size of each part in multipart uploads (in bytes).	Common and provider-specific storage fields currently share one shape.
OpenBaoCluster	spec.backup.target.pathPrefix	string	false	-	-	likely-move	backup	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.backup.target	PathPrefix is an optional prefix within the bucket for this cluster's snapshots.	Common and provider-specific storage fields currently share one shape.
OpenBaoCluster	spec.backup.target.provider	string	false	"s3"	enum="s3","gcs","azure"	likely-move	backup	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.backup.target	Provider selects the storage backend.	Common and provider-specific storage fields currently share one shape.
OpenBaoCluster	spec.backup.target.region	string	false	"us-east-1"	-	likely-move	backup	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.backup.target	Region is the AWS region to use for S3-compatible clients.	Common and provider-specific storage fields currently share one shape.
OpenBaoCluster	spec.backup.target.roleArn	string	false	-	-	likely-move	backup	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.backup.target	RoleARN is the IAM role ARN (or S3-compatible equivalent) to assume via Web Identity.	Common and provider-specific storage fields currently share one shape.
OpenBaoCluster	spec.backup.target.usePathStyle	boolean	false	false	-	likely-move	backup	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.backup.target	UsePathStyle controls whether to use path-style addressing (bucket.s3.amazonaws.com/object) or virtual-hosted-style addressing (bucket.s3.amazonaws.com/object).	Common and provider-specific storage fields currently share one shape.
OpenBaoCluster	spec.backup.target.workloadIdentity	object	false	-	-	likely-move	backup	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.backup.target	WorkloadIdentity optionally applies provider-specific metadata required by cloud workload identity integrations.	Common and provider-specific storage fields currently share one shape.
OpenBaoCluster	spec.backup.target.workloadIdentity.podLabels	object	false	-	-	likely-move	backup	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.backup.target	PodLabels are merged into the generated backup or restore Job pod template.	Common and provider-specific storage fields currently share one shape.
OpenBaoCluster	spec.backup.target.workloadIdentity.serviceAccountAnnotations	object	false	-	-	likely-move	backup	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.backup.target	ServiceAccountAnnotations are merged into the generated backup or restore ServiceAccount.	Common and provider-specific storage fields currently share one shape.
OpenBaoCluster	spec.backup.tokenSecretRef	object	false	-	-	beta-stable	backup	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.backup	TokenSecretRef optionally references a Secret containing an OpenBao API token to use for backup operations (fallback method).	-
OpenBaoCluster	spec.backup.tokenSecretRef.name	string	false	""	-	beta-stable	backup	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.backup	Name of the referent.	-
OpenBaoCluster	spec.breakGlassAck	string	false	-	-	beta-stable	lifecycle-safety	request-token	crd-schema,controller	none	required-if-changed	spec.breakGlassAck	BreakGlassAck is an explicit acknowledgment token used to exit Break Glass / Safe Mode.	-
OpenBaoCluster	spec.configuration	object	false	-	-	beta-stable	configuration	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.configuration	Configuration defines the server configuration.	-
OpenBaoCluster	spec.configuration.acmeCARoot	string	false	-	-	beta-stable	configuration	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.configuration	ACMECARoot is the path to the ACME CA root certificate file.	-
OpenBaoCluster	spec.configuration.allowAuditLogPrefixing	boolean	false	-	-	beta-stable	configuration	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.configuration	AllowAuditLogPrefixing allows audit log prefixing.	-
OpenBaoCluster	spec.configuration.cacheSize	integer	false	-	format=int64; minimum=0	beta-stable	configuration	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.configuration	CacheSize is the size of the cache in bytes.	-
OpenBaoCluster	spec.configuration.defaultLeaseTTL	string	false	-	-	beta-stable	configuration	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.configuration	DefaultLeaseTTL is the default lease TTL for tokens and secrets (e.g., "720h", "30m").	-
OpenBaoCluster	spec.configuration.detectDeadlocks	boolean	false	-	-	beta-stable	configuration	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.configuration	DetectDeadlocks enables deadlock detection in OpenBao.	-
OpenBaoCluster	spec.configuration.disableCache	boolean	false	-	-	beta-stable	configuration	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.configuration	DisableCache disables the cache entirely.	-
OpenBaoCluster	spec.configuration.enableResponseHeaderHostname	boolean	false	-	-	beta-stable	configuration	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.configuration	EnableResponseHeaderHostname enables the hostname in response headers.	-
OpenBaoCluster	spec.configuration.enableResponseHeaderRaftNodeID	boolean	false	-	-	beta-stable	configuration	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.configuration	EnableResponseHeaderRaftNodeID enables the Raft node ID in response headers.	-
OpenBaoCluster	spec.configuration.impreciseLeaseRoleTracking	boolean	false	-	-	beta-stable	configuration	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.configuration	ImpreciseLeaseRoleTracking enables imprecise lease role tracking.	-
OpenBaoCluster	spec.configuration.introspectionEndpoint	boolean	false	-	-	beta-stable	configuration	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.configuration	IntrospectionEndpoint enables the introspection endpoint.	-
OpenBaoCluster	spec.configuration.listener	object	false	-	-	beta-stable	configuration	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.configuration	Listener allows tuning the TCP listener.	-
OpenBaoCluster	spec.configuration.listener.proxyProtocolBehavior	string	false	-	enum="use_always","allow_any","deny_unauthorized"	beta-stable	configuration	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.configuration	ProxyProtocolBehavior allows configuring proxy protocol (e.g.	-
OpenBaoCluster	spec.configuration.listener.tlsDisable	boolean	false	-	-	beta-stable	configuration	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.configuration	TLSDisable controls TLS on the listener.	-
OpenBaoCluster	spec.configuration.logLevel	string	false	"info"	enum="trace","debug","info","warn","err"	beta-stable	configuration	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.configuration	LogLevel specifies the log level.	-
OpenBaoCluster	spec.configuration.logging	object	false	-	-	beta-stable	configuration	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.configuration	Logging allows configuring logging behavior.	-
OpenBaoCluster	spec.configuration.logging.file	string	false	-	-	beta-stable	configuration	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.configuration	File is the path to the log file.	-
OpenBaoCluster	spec.configuration.logging.format	string	false	-	enum="standard","json"	beta-stable	configuration	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.configuration	Format specifies the log format.	-
OpenBaoCluster	spec.configuration.logging.pidFile	string	false	-	-	beta-stable	configuration	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.configuration	PIDFile is the path to write the PID file.	-
OpenBaoCluster	spec.configuration.logging.rotateBytes	integer	false	-	format=int64; minimum=0	beta-stable	configuration	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.configuration	RotateBytes specifies the maximum size in bytes before rotating logs.	-
OpenBaoCluster	spec.configuration.logging.rotateDuration	string	false	-	-	beta-stable	configuration	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.configuration	RotateDuration specifies how often to rotate logs (e.g., "24h", "7d").	-
OpenBaoCluster	spec.configuration.logging.rotateMaxFiles	integer	false	-	format=int32; minimum=0	beta-stable	configuration	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.configuration	RotateMaxFiles is the maximum number of rotated log files to keep.	-
OpenBaoCluster	spec.configuration.maxLeaseTTL	string	false	-	-	beta-stable	configuration	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.configuration	MaxLeaseTTL is the maximum lease TTL for tokens and secrets (e.g., "8760h", "1y").	-
OpenBaoCluster	spec.configuration.plugin	object	false	-	-	beta-stable	configuration	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.configuration	Plugin allows configuring plugin behavior.	-
OpenBaoCluster	spec.configuration.plugin.autoDownload	boolean	false	-	-	beta-stable	configuration	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.configuration	AutoDownload controls automatic plugin downloads from OCI registries.	-
OpenBaoCluster	spec.configuration.plugin.autoRegister	boolean	false	-	-	beta-stable	configuration	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.configuration	AutoRegister controls automatic plugin registration.	-
OpenBaoCluster	spec.configuration.plugin.downloadBehavior	string	false	-	enum="fail","continue"	beta-stable	configuration	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.configuration	DownloadBehavior controls whether OpenBao startup fails or continues when declarative OCI plugin downloads fail.	-
OpenBaoCluster	spec.configuration.plugin.filePermissions	string	false	-	-	beta-stable	configuration	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.configuration	FilePermissions are the file permissions for plugin files (e.g., "0755").	-
OpenBaoCluster	spec.configuration.plugin.fileUID	integer	false	-	format=int64	beta-stable	configuration	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.configuration	FileUID is the UID to use for plugin files.	-
OpenBaoCluster	spec.configuration.raft	object	false	-	-	beta-stable	configuration	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.configuration	Raft allows tuning the Raft storage backend.	-
OpenBaoCluster	spec.configuration.raft.autopilot	object	false	-	-	beta-stable	configuration	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.configuration	Autopilot configures Raft Autopilot settings.	-
OpenBaoCluster	spec.configuration.raft.autopilot.cleanupDeadServers	boolean	false	true	-	beta-stable	configuration	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.configuration	CleanupDeadServers enables automatic removal of dead Raft peers.	-
OpenBaoCluster	spec.configuration.raft.autopilot.deadServerLastContactThreshold	string	false	"5m"	-	beta-stable	configuration	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.configuration	DeadServerLastContactThreshold is the duration after which a server is considered dead if it hasn't contacted the leader.	-
OpenBaoCluster	spec.configuration.raft.autopilot.lastContactThreshold	string	false	-	-	beta-stable	configuration	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.configuration	LastContactThreshold is the limit on the amount of time a server can go without leader contact before being considered unhealthy.	-
OpenBaoCluster	spec.configuration.raft.autopilot.maxTrailingLogs	integer	false	-	format=int32	beta-stable	configuration	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.configuration	MaxTrailingLogs is the amount of entries in the Raft Log that a server can be behind before being considered unhealthy.	-
OpenBaoCluster	spec.configuration.raft.autopilot.minQuorum	integer	false	-	format=int32; minimum=3	beta-stable	configuration	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.configuration	MinQuorum is the minimum number of servers before Autopilot can prune dead servers.	-
OpenBaoCluster	spec.configuration.raft.autopilot.serverStabilizationTime	string	false	-	-	beta-stable	configuration	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.configuration	ServerStabilizationTime is the minimum time a server must be healthy before being promoted to voter.	-
OpenBaoCluster	spec.configuration.raft.performanceMultiplier	integer	false	-	format=int32; minimum=0	beta-stable	configuration	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.configuration	PerformanceMultiplier scales the Raft timing parameters.	-
OpenBaoCluster	spec.configuration.rawStorageEndpoint	boolean	false	-	-	beta-stable	configuration	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.configuration	RawStorageEndpoint enables the raw storage endpoint.	-
OpenBaoCluster	spec.configuration.ui	boolean	false	true	-	beta-stable	configuration	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.configuration	UI enables the built-in web interface.	-
OpenBaoCluster	spec.configuration.unsafeAllowAPIAuditCreation	boolean	false	-	-	beta-stable	configuration	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.configuration	UnsafeAllowAPIAuditCreation allows API-based audit device creation.	-
OpenBaoCluster	spec.deletionPolicy	string	false	-	enum="Retain","DeletePVCs","DeleteAll"	beta-stable	lifecycle	mutable	crd-schema,controller	none	required-if-changed	spec.deletionPolicy	DeletionPolicy controls what happens to underlying resources when the CR is deleted.	-
OpenBaoCluster	spec.gateway	object	false	-	-	additive-unfrozen	networking	mutable	crd-schema,controller	none	required-if-changed	spec.gateway	Gateway configures Kubernetes Gateway API access (alternative to Ingress).	-
OpenBaoCluster	spec.gateway.annotations	object	false	-	-	additive-unfrozen	networking	mutable	crd-schema,controller	none	required-if-changed	spec.gateway	Annotations to apply to the HTTPRoute resource.	-
OpenBaoCluster	spec.gateway.backendTLS	object	false	-	-	additive-unfrozen	networking	mutable	crd-schema,controller	none	required-if-changed	spec.gateway	BackendTLS configures BackendTLSPolicy for end-to-end TLS between the Gateway and OpenBao.	-
OpenBaoCluster	spec.gateway.backendTLS.enabled	boolean	false	true	-	additive-unfrozen	networking	mutable	crd-schema,controller	none	required-if-changed	spec.gateway	Enabled controls whether the Operator creates a BackendTLSPolicy.	-
OpenBaoCluster	spec.gateway.backendTLS.hostname	string	false	-	-	additive-unfrozen	networking	mutable	crd-schema,controller	none	required-if-changed	spec.gateway	Hostname is the hostname to verify in the backend certificate.	-
OpenBaoCluster	spec.gateway.enabled	boolean	true	-	-	additive-unfrozen	networking	mutable	crd-schema,controller	none	required-if-changed	spec.gateway	Enabled activates Gateway API support for this cluster.	-
OpenBaoCluster	spec.gateway.gatewayRef	object	true	-	-	additive-unfrozen	networking	mutable	crd-schema,controller	none	required-if-changed	spec.gateway	GatewayRef references an existing Gateway resource that will handle traffic for this OpenBao cluster.	-
OpenBaoCluster	spec.gateway.gatewayRef.name	string	true	-	minLength=1	additive-unfrozen	networking	mutable	crd-schema,controller	none	required-if-changed	spec.gateway	Name of the Gateway resource.	-
OpenBaoCluster	spec.gateway.gatewayRef.namespace	string	false	-	-	additive-unfrozen	networking	mutable	crd-schema,controller	none	required-if-changed	spec.gateway	Namespace of the Gateway resource.	-
OpenBaoCluster	spec.gateway.hostname	string	true	-	minLength=1	additive-unfrozen	networking	mutable	crd-schema,controller	none	required-if-changed	spec.gateway	Hostname for routing traffic to this OpenBao cluster.	-
OpenBaoCluster	spec.gateway.listenerName	string	false	-	-	additive-unfrozen	networking	mutable	crd-schema,controller	none	required-if-changed	spec.gateway	ListenerName optionally targets a specific listener (sectionName) on the referenced Gateway.	-
OpenBaoCluster	spec.gateway.path	string	false	-	-	additive-unfrozen	networking	mutable	crd-schema,controller	none	required-if-changed	spec.gateway	Path prefix for the HTTPRoute (defaults to "/").	-
OpenBaoCluster	spec.gateway.tlsPassthrough	boolean	false	-	-	additive-unfrozen	networking	mutable	crd-schema,controller	none	required-if-changed	spec.gateway	TLSPassthrough enables TLS passthrough mode using TLSRoute instead of HTTPRoute.	-
OpenBaoCluster	spec.image	string	false	-	-	beta-stable	workload	mutable	crd-schema,controller	none	required-if-changed	spec.image	Image is the container image to run; defaults may be derived from Version.	-
OpenBaoCluster	spec.imagePullSecrets	array<object>	false	-	-	beta-stable	workload	mutable	crd-schema,controller	none	required-if-changed	spec.imagePullSecrets	ImagePullSecrets is a list of references to secrets in the same namespace to use for pulling any images used by this Cluster (server, init, sidecars).	-
OpenBaoCluster	spec.imagePullSecrets[].name	string	false	""	-	beta-stable	workload	mutable	crd-schema,controller	none	required-if-changed	spec.imagePullSecrets	Name of the referent.	-
OpenBaoCluster	spec.imageVerification	object	false	-	-	beta-stable	supply-chain-security	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.imageVerification	ImageVerification configures supply chain security checks.	-
OpenBaoCluster	spec.imageVerification.enabled	boolean	true	-	-	beta-stable	supply-chain-security	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.imageVerification	Enabled controls whether image verification is enforced.	-
OpenBaoCluster	spec.imageVerification.failurePolicy	string	true	"Block"	enum="Warn","Block"	beta-stable	supply-chain-security	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.imageVerification	FailurePolicy defines behavior on verification failure.	-
OpenBaoCluster	spec.imageVerification.ignoreTlog	boolean	false	false	-	beta-stable	supply-chain-security	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.imageVerification	IgnoreTlog controls whether to verify against the Rekor transparency log.	-
OpenBaoCluster	spec.imageVerification.imagePullSecrets	array<object>	false	-	-	beta-stable	supply-chain-security	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.imageVerification	ImagePullSecrets is a list of references to secrets in the same namespace to use for pulling images from private registries during verification.	-
OpenBaoCluster	spec.imageVerification.imagePullSecrets[].name	string	false	""	-	beta-stable	supply-chain-security	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.imageVerification	Name of the referent.	-
OpenBaoCluster	spec.imageVerification.issuer	string	false	-	-	beta-stable	supply-chain-security	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.imageVerification	Issuer is the OIDC issuer for keyless verification (e.g., https://token.actions.githubusercontent.com).	-
OpenBaoCluster	spec.imageVerification.issuerRegExp	string	false	-	-	beta-stable	supply-chain-security	mutable	crd-schema,admission-policy,controller	none	required-if-changed	spec.imageVerification	IssuerRegExp is a regular expression for the OIDC issuer when using keyless verification.	-
