# Complete route ledger captured from the final Docusaurus build before the Hugo migration.
# Additional 0.4.x entries preserve the previous stable contract after 0.5.x becomes unprefixed stable.
# Columns: legacy route, canonical Hugo route, mapping evidence or disposition.
/	/	preserved canonical Hugo route
/0.4.x/docs/operate/recover-no-leader/	/0.4.x/docs/operate/recover-no-leader/	previous Hugo 0.4.x route
/0.4.x/docs/operate/recover-sealed/	/0.4.x/docs/operate/recover-sealed/	previous Hugo 0.4.x route
/0.4.x/docs/operate/restore/	/0.4.x/docs/operate/restore/	previous Hugo 0.4.x route
/0.4.x/docs/operate/troubleshoot/	/0.4.x/docs/operate/troubleshoot/	previous Hugo 0.4.x route
/0.4.x/docs/operate/upgrades/	/0.4.x/docs/operate/upgrades/	previous Hugo 0.4.x route
/0.4.x/docs/reference/	/0.4.x/docs/reference/	previous Hugo 0.4.x route
/0.4.x/docs/reference/api/	/0.4.x/docs/reference/api/	previous Hugo 0.4.x route
/0.4.x/docs/reference/api/openbaocluster/	/0.4.x/docs/reference/api/openbaocluster/	previous Hugo 0.4.x route
/0.4.x/docs/reference/api/openbaorestore/	/0.4.x/docs/reference/api/openbaorestore/	previous Hugo 0.4.x route
/0.4.x/docs/reference/api/openbaotenant/	/0.4.x/docs/reference/api/openbaotenant/	previous Hugo 0.4.x route
/0.4.x/docs/reference/compatibility/	/0.4.x/docs/reference/compatibility/	previous Hugo 0.4.x route
/0.4.x/docs/reference/known-limitations/	/0.4.x/docs/reference/known-limitations/	previous Hugo 0.4.x route
/0.4.x/docs/reference/operator-upgrades/	/0.4.x/docs/reference/operator-upgrades/	previous Hugo 0.4.x route
/0.4.x/docs/reference/release-lifecycle/	/0.4.x/docs/reference/release-lifecycle/	previous Hugo 0.4.x route
/0.4.x/docs/reference/status-and-events/	/0.4.x/docs/reference/status-and-events/	previous Hugo 0.4.x route
/0.4.x/docs/security/	/0.4.x/docs/security/	previous Hugo 0.4.x route
/0.4.x/docs/security/admission/	/0.4.x/docs/security/admission/	previous Hugo 0.4.x route
/0.4.x/docs/security/secrets/	/0.4.x/docs/security/secrets/	previous Hugo 0.4.x route
/0.4.x/docs/security/supply-chain/	/0.4.x/docs/security/supply-chain/	previous Hugo 0.4.x route
/0.4.x/docs/security/tenant-boundaries/	/0.4.x/docs/security/tenant-boundaries/	previous Hugo 0.4.x route
/0.4.x/docs/security/threat-model/	/0.4.x/docs/security/threat-model/	previous Hugo 0.4.x route
/0.4.x/docs/security/workload/	/0.4.x/docs/security/workload/	previous Hugo 0.4.x route
/contribute/	/contribute/	preserved canonical Hugo route
/contribute/ci/	/contribute/ci/	preserved canonical Hugo route
/contribute/dependency-licenses/	/contribute/supply-chain/	docs/contribute/dependency-licenses.md
/contribute/distribution/	/contribute/release/	docs/contribute/distribution.md
/contribute/docs-style-guide/	/contribute/standards/	docs/contribute/docs-style-guide.md
/contribute/getting-started/	/contribute/setup/	docs/contribute/getting-started/index.md
/contribute/getting-started/development/	/contribute/setup/	docs/contribute/getting-started/development.md
/contribute/project-governance/	/contribute/	docs/contribute/project-governance.mdx
/contribute/release-management/	/contribute/release/	docs/contribute/release-management.md
/contribute/sdlc/	/contribute/supply-chain/	docs/contribute/sdlc.md
/contribute/standards/	/contribute/standards/	preserved canonical Hugo route
/contribute/standards/conventional-commits/	/contribute/standards/	docs/contribute/standards/conventional-commits.md
/contribute/standards/error-handling/	/contribute/standards/	docs/contribute/standards/error-handling.md
/contribute/standards/generated-artifacts/	/contribute/standards/	docs/contribute/standards/generated-artifacts.md
/contribute/standards/go-style/	/contribute/standards/	docs/contribute/standards/go-style.md
/contribute/standards/kubernetes-patterns/	/contribute/standards/	docs/contribute/standards/kubernetes-patterns.md
/contribute/standards/project-conventions/	/contribute/standards/	docs/contribute/standards/project-conventions.md
/contribute/standards/security-practices/	/contribute/standards/	docs/contribute/standards/security-practices.md
/contribute/supply-chain-incident-response/	/contribute/incident-response/	docs/contribute/supply-chain-incident-response.md
/contribute/supply-chain-security/	/contribute/supply-chain/	docs/contribute/supply-chain-security.md
/contribute/testing/	/contribute/testing/	preserved canonical Hugo route
/contribute/validate-and-ship/	/contribute/ci/	docs/contribute/validate-and-ship.mdx
/dev/	/next/	unreleased compatibility alias
/dev/architecture/	/next/docs/architecture/	unreleased compatibility alias
/dev/contributing/	/next/	unreleased compatibility alias
/dev/security/	/next/docs/security/	unreleased compatibility alias
/dev/user-guide/	/next/docs/get-started/	unreleased compatibility alias
/docs/	/docs/	preserved canonical Hugo route
/docs/0.1.0/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/architecture/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/architecture/backup-manager/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/architecture/cert-manager/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/architecture/components/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/architecture/infra-manager/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/architecture/init-manager/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/architecture/lifecycle/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/architecture/lifecycle/day0-provisioning/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/architecture/lifecycle/day1-creation/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/architecture/lifecycle/day2-operations/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/architecture/lifecycle/dayN-backups/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/architecture/operation-lifecycle/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/architecture/operator-invariants/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/architecture/provisioner-manager/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/architecture/restore-manager/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/architecture/upgrade-manager/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/configure/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/configure/cluster-overview/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/configure/external-access/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/configure/security-profiles/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/configure/unseal/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/get-started/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/get-started/deployment-decision-guide/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/get-started/first-cluster/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/get-started/install/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/get-started/next-steps/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/get-started/onboard-target-namespace/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/get-started/operator-authentication/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/get-started/operator-authorization/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/get-started/operator-identity/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/get-started/single-tenant-mode/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/operate/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/operate/backups/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/operate/decommission/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/operate/maintenance/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/operate/pause-reconciliation/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/operate/production-checklist/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/operate/troubleshooting/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/operate/upgrades/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/recover/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/recover/failed-rollback/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/recover/no-leader/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/recover/safe-mode/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/recover/sealed-cluster/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/reference/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/reference/api/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/reference/compatibility/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/reference/deprecation-policy/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/reference/known-limitations/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/reference/operator-upgrade-compatibility/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/reference/release-policy/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/reference/status-and-events/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/reference/support-policy/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/security/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/security/fundamentals/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/security/fundamentals/profiles/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/security/fundamentals/secrets-management/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/security/fundamentals/threat-model/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/security/infrastructure/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/security/infrastructure/admission-policies/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/security/infrastructure/network-security/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/security/infrastructure/rbac/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/security/multi-tenancy/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/security/multi-tenancy/tenant-isolation/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/security/workload/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/security/workload/supply-chain/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/security/workload/tls/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/security/workload/workload-security/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/tenant-onboarding/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/tenant-onboarding/multi-tenant-security/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/user-guide/openbaocluster/configuration/air-gapped/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/user-guide/openbaocluster/configuration/gateway-api/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/user-guide/openbaocluster/configuration/network/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/user-guide/openbaocluster/configuration/observability/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/user-guide/openbaocluster/configuration/resources-storage/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/user-guide/openbaocluster/configuration/self-init/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/user-guide/openbaocluster/configuration/server/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/user-guide/openbaorestore/overview/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/user-guide/openbaorestore/recovery-restore-after-upgrade/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/user-guide/openbaorestore/restore/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/user-guide/validated-deployments/architectures/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/user-guide/validated-deployments/architectures/cloud/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/user-guide/validated-deployments/architectures/cloud/amazon-eks-development-awskms-s3/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/user-guide/validated-deployments/architectures/cloud/amazon-eks-hardened-awskms-acme/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/user-guide/validated-deployments/architectures/local/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/user-guide/validated-deployments/architectures/local/k3d-cross-cluster-dr-transit-rustfs/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/user-guide/validated-deployments/architectures/local/k3d-development-shared-edge-rustfs/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/user-guide/validated-deployments/architectures/local/k3d-hardened-transit-acme/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/user-guide/validated-deployments/architectures/local/k3d-hardened-transit-external-tls/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/user-guide/validated-deployments/recipes/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/user-guide/validated-deployments/recipes/cloud/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/user-guide/validated-deployments/recipes/cloud/amazon-eks-development-awskms-s3/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/user-guide/validated-deployments/recipes/cloud/amazon-eks-hardened-awskms-acme/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/user-guide/validated-deployments/recipes/local/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/user-guide/validated-deployments/recipes/local/development-self-init-userpass/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/user-guide/validated-deployments/recipes/local/hardened-transit-acme-tls/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/user-guide/validated-deployments/recipes/local/hardened-transit-external-tls/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/user-guide/validated-deployments/recipes/local/k3d-cross-cluster-dr-bootstrap/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/user-guide/validated-deployments/runbooks/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/user-guide/validated-deployments/runbooks/cross-cluster-dr-restore-rustfs/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.1.0/validated-deployments/	/releases/0.1.0/	archived 0.1.x contract
/docs/0.2.0/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/architecture/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/architecture/backup-manager/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/architecture/cert-manager/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/architecture/components/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/architecture/init-manager/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/architecture/lifecycle/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/architecture/lifecycle/day0-provisioning/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/architecture/lifecycle/day1-creation/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/architecture/lifecycle/day2-operations/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/architecture/lifecycle/dayN-backups/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/architecture/operation-lifecycle/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/architecture/operator-invariants/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/architecture/provisioner-manager/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/architecture/restore-manager/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/architecture/upgrade-manager/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/architecture/workload-managers/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/configure/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/configure/cluster-overview/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/configure/external-access/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/configure/read-replicas/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/configure/security-profiles/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/configure/unseal/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/get-started/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/get-started/deployment-decision-guide/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/get-started/first-cluster/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/get-started/install/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/get-started/next-steps/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/get-started/onboard-target-namespace/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/get-started/operator-authentication/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/get-started/operator-authorization/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/get-started/operator-identity/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/get-started/single-tenant-mode/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/operate/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/operate/backups/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/operate/decommission/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/operate/maintenance/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/operate/pause-reconciliation/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/operate/production-checklist/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/operate/troubleshooting/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/operate/upgrades/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/recover/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/recover/failed-rollback/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/recover/no-leader/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/recover/safe-mode/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/recover/sealed-cluster/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/reference/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/reference/api/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/reference/compatibility/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/reference/deprecation-policy/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/reference/known-limitations/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/reference/operator-upgrade-compatibility/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/reference/release-policy/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/reference/status-and-events/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/reference/support-policy/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/security/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/security/fundamentals/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/security/fundamentals/profiles/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/security/fundamentals/secrets-management/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/security/fundamentals/threat-model/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/security/infrastructure/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/security/infrastructure/admission-policies/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/security/infrastructure/network-security/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/security/infrastructure/rbac/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/security/multi-tenancy/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/security/multi-tenancy/tenant-isolation/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/security/workload/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/security/workload/supply-chain/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/security/workload/tls/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/security/workload/workload-security/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/tenant-onboarding/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/tenant-onboarding/multi-tenant-security/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/user-guide/openbaocluster/configuration/air-gapped/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/user-guide/openbaocluster/configuration/gateway-api/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/user-guide/openbaocluster/configuration/network/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/user-guide/openbaocluster/configuration/observability/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/user-guide/openbaocluster/configuration/resources-storage/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/user-guide/openbaocluster/configuration/self-init/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/user-guide/openbaocluster/configuration/server/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/user-guide/openbaorestore/overview/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/user-guide/openbaorestore/recovery-restore-after-upgrade/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/user-guide/openbaorestore/restore/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/user-guide/validated-deployments/architectures/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/user-guide/validated-deployments/architectures/cloud/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/user-guide/validated-deployments/architectures/cloud/amazon-eks-development-awskms-s3/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/user-guide/validated-deployments/architectures/cloud/amazon-eks-hardened-awskms-acme/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/user-guide/validated-deployments/architectures/local/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/user-guide/validated-deployments/architectures/local/k3d-cross-cluster-dr-transit-rustfs/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/user-guide/validated-deployments/architectures/local/k3d-development-shared-edge-rustfs/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/user-guide/validated-deployments/architectures/local/k3d-hardened-transit-acme/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/user-guide/validated-deployments/architectures/local/k3d-hardened-transit-external-tls/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/user-guide/validated-deployments/recipes/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/user-guide/validated-deployments/recipes/cloud/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/user-guide/validated-deployments/recipes/cloud/amazon-eks-development-awskms-s3/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/user-guide/validated-deployments/recipes/cloud/amazon-eks-hardened-awskms-acme/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/user-guide/validated-deployments/recipes/local/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/user-guide/validated-deployments/recipes/local/development-self-init-userpass/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/user-guide/validated-deployments/recipes/local/hardened-transit-acme-tls/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/user-guide/validated-deployments/recipes/local/hardened-transit-external-tls/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/user-guide/validated-deployments/recipes/local/k3d-cross-cluster-dr-bootstrap/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/user-guide/validated-deployments/runbooks/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/user-guide/validated-deployments/runbooks/cross-cluster-dr-restore-rustfs/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.2.0/validated-deployments/	/releases/0.2.0/	archived 0.2.x contract
/docs/0.3.0/	/releases/0.3.0/	archived 0.3.x contract
/docs/0.3.0/architecture/	/releases/0.3.0/	archived 0.3.x contract
/docs/0.3.0/architecture/backup-manager/	/releases/0.3.0/	archived 0.3.x contract
/docs/0.3.0/architecture/cert-manager/	/releases/0.3.0/	archived 0.3.x contract
